00000,0000000000000005
00001,0000000000000001
00002,0000000000000001
00003,0000000000000001
00004,0000000100000000
00005,0000000000004e20
00006,000000010000c350
00007,0000000000015f90
00008,00000008000186a0
00009,000000080001adb0
0000a,000000000001adb0
0000b,0000004000030d40
0000c,0000080000030d40
0000d,000000800003a980
0000e,00001000000c3500
